Name,Appeared,Solution,Tags
Multi Topics,,,
"Fast Multiplication, Adders",Winter 2021 Assign4 Q2,W-21-Assign4_q2-sol.pdf,"TD,T9"
Endianness,Winter 2021 Assign1 Q1,W-21-Assign1_q1-sol.pdf,T1
"Virtual Memory, Caches, Pipelining, Pointers","Final, Fall 2017",F17-final-A1-Q1-sol.pdf,"T8,TE,TD,T6"
"Virtual Array Access, Pointers, Jump Instruction, Caches, Virtual Memory","Final, Fall 2017",F17-final-A2-Q1-sol.pdf,"T2,T6,T3,TE"
"Frame Pointer, Memory Access, Branch Format, I/O interface, Exceptions, Library Linkage","Final, Fall 2014",F14-final-Q1-sol.pdf,"T5,T2,T2,TA,TA,T8,TD"
"Pipelining, Pointers, Assembly Instructions, Exceptions","Final, Winter 2014",W14-final-Q1-sol.pdf,"TD,T6,T2,TA"
"Register Allocation, Branch Prediction","Final, Winter 2014",W14-final-Q5-sol.pdf,"T3,TA,TD"
Introduction,"Quiz #0, Winter 2014",W14-quiz0-A-sol.pdf,T0
Introduction,"Quiz #0, Winter 2014",W14-quiz0-B-sol.pdf,T0
Datapath,"Quiz #5, Winter 2014",W14-quiz5-sol.pdf,TC
"Branching, Cache Associativity, Sticky Bit, Datapath","Final, Fall 2013",F13-finalA1-Q1-sol.pdf,"T2,TE,TB,TC"
"Binary Representation, Floating Point, Assembly Programming","Final, Fall 2013",F13-finalA1-Q4-sol.pdf,"T1,T2,TB"
Introduction,"Quiz #0, Fall 2013",F13-quiz0-A1-A-sol.pdf,T0
Introduction,"Quiz #0, Fall 2013",F13-quiz0-A1-B-sol.pdf,T0
Introduction,"Quiz #0, Fall 2013",F13-quiz0-A2-A-sol.pdf,T0
Introduction,"Quiz #0, Fall 2013",F13-quiz0-A2-B-sol.pdf,T0
"Performance, Sticky bit, Associativity, Pointers","Final, Winter 2012",Q1-finalW12-sol.pdf,"T4,TB,TE,T6"
"Branches, caches, linked load/store conditional","Final, Fall 2010",Q1-finalF10-sol.pdf,"T2,TE,T7,TA,TD"
Assembly Instructions Assembly Instructions,,,
Branch and Jump Instruction,Winter 2021 Assignment 3 q4,W-21-Assign3_q4-sol.pdf,T2
MIPS Instrutions,Winter 2021 Assignment 3 q2,W-21-Assign3_q2-sol.pdf,T2
MIPS Instrutions,Winter 2021 Assignment 3 Q1,W-21-Assign3_q1-sol.pdf,T2
LW,Winter 2021 Assignment 1 Q6,W-21-Assign1_q6-sol.pdf,T2
Branch Instruction Format,"Midterm, Fall 2017",F17-midterm-A2-Q3-sol.pdf,T2
Logic Instructions,"Midterm, Fall 2017",F17-midterm-A2-Q1-sol.pdf,"T2,T3"
Brach Insruction Format Analysis,"Midterm, Fall 2017",F17-midterm-A1-Q3-sol.pdf,T2
Array Accesses,"Midterm, Fall 2017",F17-midterm-A1-Q1-sol.pdf,"T2,T6"
Logical Instructions,"Midterm, Fall 2016",F16-midterm-Q1-sol.pdf,T3
"Instruction format, branching","Midterm, Winter 2014",W14-midterm-Q1-sol.pdf,T2
"Registers, instruction format","Quiz #1, Winter 2014",W14-quiz1-A-sol.pdf,T2
"Registers, instruction format","Quiz #1, Winter 2014",W14-quiz1-B-sol.pdf,T2
"Branches, addressing","Quiz #3, Winter 2014",W14-quiz3-sol.pdf,T2
Reading Instructions,"Quiz #1, Fall 2013",F13-quiz1-A2-B-sol.pdf,T3
"Branches, address range","Quiz #3, Winter 2012",W12-quiz3-sol.pdf,T2
"Branches, addresses","Midterm, Fall 2011",Q2-midtermF11-sol.pdf,T2
"Branches, addresses displacements","Quiz #2, Fall 2010",F10-quiz2-sol.pdf,T2
Branches and Jump Instructions,"Midterm, Fall 2014",F14-midterm-Q1-sol.pdf,"T1,T2"
Binary Representation and Arithmetic,,,
Instructions Opcode,Winter 2021 Assignment 1 Q7,W-21-Assign1_q7-sol.pdf,"T1,T2"
Instruction Binary Representation,Winter 2021 Assignment 1 Q5,W-21-Assign1_q5-sol.pdf,"T1,T2"
Endianness Question,Winter 2021 Assignment 1,W-21-Assign1_q1-sol.pdf,T1
A new lwi instruction,"Midterm, Fall 2016",F16-midterm-Q2-sol.pdf,T2
Multiplication,"Quiz #4, Fall 2011",F11-quiz4-sol.pdf,T9
"Multiplication, Performance Estimate","Quiz #4, Fall 2010",F10-quiz4-sol.pdf,"T4,T9"
"Binary vs Decimal conversion, Overflow","Midterm, Fall 2010",Q2-midtermF10-sol.pdf,T1
Assembly Programming Questions,,,
Multiplication,Winter 2021 Assign4 Q4,W-21-Assign4_q4-sol.pdf,T9
Lock and Unclock,Winter 2021 Assign3 q5,W-21-Assign4_q1.pdf,T7
16 bit instruction coding,Winter 2021 Assign3 q5,W-21-Assign3_q5.pdf,"T2,T5"
Logic Instructions,Winter 2021 Assign3 q3,W-21-Assign3_q3.pdf,"T2,T3"
Convert C to Assembly,Winter 2021 Assign1 q4,W-21-Assign1_q4.pdf,"T2,T3"
Write Assembly,Winter 2021 Assign1 q3,W-21-Assign1_q3.pdf,"T2,T3"
Convert Assembly to C,Winter 2021 Assign1 q2,W-21-Assign1_q2.pdf,T2
"Recursion, Single-Nested Loop","Midterm, Fall 2017",F17-midterm-A2-Q4-sol.pdf,"T3,T5"
Double-Nested Loop,"Midterm, Fall 2017",F17-midterm-A1-Q4-sol.pdf,"T3,T5"
"Branch Binary Decoding, Scanning","Final, Fall 2017",F17-final-A2-Q4-sol.pdf,"T2,T3,T5"
"MIPS Binary Decoding, Insert Instructions","Final, Fall 2017",F17-final-A1-Q5-sol.pdf,"T2,T3,T5"
Bit Manipulation & String Manipulation.,"Midterm, Fall 2016",F16-midterm-Q4-sol.pdf,"T2,T6"
Multi-field Structures and Function Calls.,"Final, Fall 2014",F14-final-Q4-sol.pdf,"T5,T6"
Multi-field Structures and Function Calls.,"Midterm, Fall 2014",F14-midterm-Q4-Q5-sol.pdf,"T2,T3,T5,T6"
"Instruction format, bit manipulation, subroutines (see W14-midterm-Q1 under Assembly Instructions)","Midterm, Winter 2014",W14-midterm-Q2-sol.pdf,"T2,T3,T5"
"Pointers, Array Access","Midterm, Winter 2014",W14-midterm-Q4-sol.pdf,T6
String manipulation,"Midterm, Winter 2014",W14-midterm-Q5-sol.pdf,"T2,T3,T6"
"C Translation, Loops","Final, Fall 2013",F13-finalA2-Q4-sol.pdf,"T2,T3,T4,T5,T6"
"Bit Manipulation, Basic Blocks","Final, Fall 2013",F13-finalA2-Q5-sol.pdf,"T2,T3,T5"
Arrays,"Midterm, Fall 2013",F13-midtermA1-Q3-sol.pdf,
"Arrays, Pointers","Midterm, Fall 2013",F13-midtermA2-Q3-sol.pdf,T6
Iterative vs Recursive Code,"Midterm, Winter 2012",Q4-midtermW12-sol.pdf,"T3,T5"
Logic Instructions,"Midterm, Winter 2012",Q3-midtermW12-sol.pdf,"T2,T3"
String and char operations,"Midterm, Winter 2012",Q1-midtermW12-sol.pdf,"T1,T4"
Array and Pointer Accesses,"Midterm, Winter 2012",Q2-midtermW12-sol.pdf,T6
"Array accesses, pointers, simple loops","Final, Fall 2011",Q1-F11-sol.pdf,"T3,T6"
"Recursion, stack management","Midterm, Fall 2011",Q1-midtermF11-sol.pdf,T5
Array Accesses,"Midterm, Fall 2011",Q3-midtermF11-sol.pdf,"T2,T3,T6"
Logic Instructions,"Midterm, Fall 2010",Q3-midtermF10-sol.pdf,"T2,T3"
"Array accesses, loops","Midterm, Fall 2010",Q4-midtermF10-sol.pdf,"T2,T3,T5,T6"
"Logic instructions, ASCII conversion","Final, Fall 2010",Q4-finalF10-sol.pdf,"T2,T3,T5"
Performance Evaluation Questions,,,
CPI & Performance,Winter 2021 Assignment 2 Q6,W-21-Assign2_q6-sol.pdf,T4
